CampaignID,CampaignName,Platform,AdType,StartDate,EndDate,Status,Impressions,Reach,Clicks,Likes,Comments,Shares,VideoViews,LinkClicks,CTR (%),EngagementRate (%),AdSpend ($),Revenue ($),Conversions,ConversionRate (%),CPC ($),CPM ($),ROAS,ROI (%),AudienceAge,AudienceGender,Objective,CostPerConversion ($)
CMP-0112,TW-0112,Twitter,Image,2024-06-26,2024-07-04,Active,84710,48309,7914,19177,2480.0,3140.0,2020,4247,9.34,29.27,22331.85,50895.54,1178,14.89,2.82,263.63,2.28,127.91,45+,F,Traffic,18.96
CMP-0113,IG-0113,Instagram,Image,2024-05-31,2024-06-20,Completed,91023,48605,4432,9451,764.0,967.0,6088,1975,4.87,12.28,20290.75,87386.83,629,14.19,4.58,222.92,4.31,330.67,18-24,M,Conversions,32.26
CMP-0114,TW-0114,Twitter,Story,2024-02-15,2024-03-13,Completed,630920,441026,26693,38835,4208.0,3963.0,100499,22704,4.23,7.45,44028.7,147927.72,3649,13.67,1.65,69.78,3.36,235.98,25-34,All,Awareness,12.07
CMP-0115,IG-0115,Instagram,Carousel,2024-02-02,2024-02-17,Completed,446557,245551,42425,59985,14327.0,9318.0,37713,30051,9.5,18.73,6529.28,3485.57,3143,7.41,0.15,14.62,0.53,-46.62,45+,F,Traffic,2.08
CMP-0116,IG-0116,Instagram,Story,2024-11-29,2024-12-12,Completed,637512,556955,17912,23896,5804.0,4659.0,193812,13388,2.81,5.39,26126.63,44731.96,1410,7.87,1.46,40.98,1.71,71.21,45+,F,Traffic,18.53
CMP-0117,FB-0117,Facebook,Video,2024-10-06,2024-10-22,Completed,581820,240558,51566,123916,11391.0,20771.0,396741,22409,8.86,26.83,35879.53,138670.37,6636,12.87,0.7,61.67,3.86,286.49,25-34,All,Engagement,5.41
CMP-0118,FB-0118,Facebook,Story,2024-02-07,2024-03-11,Completed,507514,350754,33725,79926,17897.0,8546.0,63812,29820,6.65,20.96,36647.22,127132.86,3650,10.82,1.09,72.21,3.47,246.91,18-24,M,Conversions,10.04
CMP-0119,IG-0119,Instagram,Video,2024-01-23,2024-02-22,Completed,352704,311387,19223,15723,1599.0,1913.0,163357,13268,5.45,5.45,20337.15,49941.35,1740,9.05,1.06,57.66,2.46,145.57,25-34,F,Engagement,11.69
CMP-0120,IG-0120,Instagram,Story,2024-02-13,2024-02-25,Completed,153557,88166,6826,14561,2245.0,1393.0,25849,5194,4.45,11.85,3489.26,2524.18,500,7.32,0.51,22.72,0.72,-27.66,18-24,M,Sales,6.98
CMP-0121,TW-0121,Twitter,Video,2024-05-04,2024-06-11,Active,352067,239378,40566,48442,6346.0,2969.0,193050,24991,11.52,16.41,27827.76,41369.37,571,1.41,0.69,79.04,1.49,48.66,45+,F,Sales,48.74
CMP-0122,IG-0122,Instagram,Image,2024-10-01,2024-10-17,Completed,211647,133078,7443,16869,2623.0,2399.0,20658,5252,3.52,10.34,15982.65,75559.4,686,9.22,2.15,75.52,4.73,372.76,25-34,All,Engagement,23.3
CMP-0123,TW-0123,Twitter,Image,2024-06-09,2024-06-21,Completed,127629,62732,10815,18043,2411.0,1119.0,8919,5330,8.47,16.9,31357.77,116848.47,1070,9.89,2.9,245.69,3.73,272.63,25-34,All,Engagement,29.31
CMP-0124,FB-0124,Facebook,Carousel,2024-11-13,2024-11-21,Completed,15048,9665,412,598,97.0,86.0,1101,266,2.74,5.19,20251.4,27061.29,45,10.92,49.15,1345.79,1.34,33.63,18-24,M,Conversions,450.03
CMP-0125,TW-0125,Twitter,Carousel,2024-08-22,2024-09-27,Completed,123710,84909,4429,7632,1894.0,967.0,14645,3454,3.58,8.48,10225.12,26848.85,317,7.16,2.31,82.65,2.63,162.58,25-34,F,Awareness,32.26
CMP-0126,IG-0126,Instagram,Carousel,2024-02-14,2024-03-18,Completed,128088,100909,4130,8995,1507.0,864.0,14396,2958,3.22,8.87,6695.96,10265.56,137,3.32,1.62,52.28,1.53,53.31,25-34,M,Conversions,48.88
CMP-0127,TW-0127,Twitter,Video,2024-12-26,2025-01-18,Active,285329,250004,18306,42657,9087.0,2631.0,178349,11089,6.42,19.06,12840.9,48531.94,335,1.83,0.7,45.0,3.78,277.95,25-34,M,Traffic,38.33
CMP-0128,FB-0128,Facebook,Story,2024-10-22,2024-11-13,Completed,398396,249394,31021,71230,4887.0,8725.0,117430,26931,7.79,21.3,42786.31,91410.66,1913,6.17,1.38,107.4,2.14,113.64,18-24,All,Engagement,22.37
CMP-0129,TW-0129,Twitter,Carousel,2024-09-30,2024-10-30,Completed,455513,370069,28192,38027,4058.0,4851.0,16843,23292,6.19,10.3,40289.88,173700.56,3393,12.04,1.43,88.45,4.31,331.13,18-24,M,Conversions,11.87
CMP-0130,FB-0130,Facebook,Image,2024-03-21,2024-04-23,Completed,453580,227315,38186,39112,7040.0,2559.0,64070,20506,8.42,10.74,11642.32,27466.78,3881,10.16,0.3,25.67,2.36,135.92,25-34,M,Sales,3.0
CMP-0131,TW-0131,Twitter,Video,2024-02-16,2024-02-27,Paused,86724,40443,2689,5259,272.0,795.0,58276,2404,3.1,7.29,6381.79,5450.95,185,6.88,2.37,73.59,0.85,-14.59,45+,M,Traffic,34.5
CMP-0132,IG-0132,Instagram,Carousel,2024-03-11,2024-04-09,Completed,144613,104235,11984,10980,1785.0,1511.0,5977,6897,8.29,9.87,33797.96,172351.7,477,3.98,2.82,233.71,5.1,409.95,45+,M,Conversions,70.86
CMP-0133,FB-0133,Facebook,Story,2024-08-07,2024-09-01,Completed,264822,142602,3889,6769,1150.0,928.0,170884,2898,1.47,3.34,29799.04,59843.82,500,12.86,7.66,112.52,2.01,100.82,25-34,All,Traffic,59.6
CMP-0134,FB-0134,Facebook,Story,2024-05-03,2024-06-08,Completed,79461,52773,9331,23119,3779.0,1412.0,55826,6384,11.74,35.63,30890.92,133251.99,570,6.11,3.31,388.76,4.31,331.36,18-24,M,Traffic,54.19
CMP-0135,FB-0135,Facebook,Image,2024-07-22,2024-08-28,Completed,530387,415587,28487,42271,7528.0,5327.0,21135,12585,5.37,10.39,41481.16,222818.83,600,2.11,1.46,78.21,5.37,437.16,25-34,All,Sales,69.14
CMP-0136,TW-0136,Twitter,Image,2024-08-11,2024-08-31,Active,460589,210946,34734,31036,5686.0,4509.0,19728,14113,7.54,8.95,1005.1,2997.27,1014,2.92,0.03,2.18,2.98,198.21,35-44,All,Traffic,0.99
CMP-0137,IG-0137,Instagram,Video,2024-05-17,2024-05-29,Completed,35782,20306,1945,3288,337.0,644.0,19296,1260,5.44,11.93,2967.04,14232.29,158,8.12,1.53,82.92,4.8,379.68,25-34,F,Traffic,18.78
CMP-0138,TW-0138,Twitter,Image,2024-09-17,2024-09-22,Active,261430,110582,12249,28961,2484.0,5608.0,6430,9818,4.69,14.17,29678.8,48156.13,1346,10.99,2.42,113.52,1.62,62.26,25-34,F,Awareness,22.05
CMP-0139,FB-0139,Facebook,Carousel,2024-12-10,2024-12-18,Completed,53159,46622,687,1092,116.0,191.0,3325,464,1.29,2.63,9429.87,31298.06,7,1.02,13.73,177.39,3.32,231.9,35-44,All,Awareness,1347.12
CMP-0140,TW-0140,Twitter,Story,2024-04-10,2024-05-19,Completed,262034,124540,29406,24720,3913.0,3504.0,153400,11903,11.22,12.26,34272.35,81615.29,1673,5.69,1.17,130.79,2.38,138.14,35-44,M,Sales,20.49
CMP-0141,IG-0141,Instagram,Story,2024-03-13,2024-04-04,Active,550007,333594,59396,93808,18722.0,12469.0,249592,42682,10.8,22.73,26839.36,21777.84,3873,6.52,0.45,48.8,0.81,-18.86,25-34,M,Sales,6.93
CMP-0142,IG-0142,Instagram,Carousel,2024-05-19,2024-06-07,Active,147723,116696,10671,11356,941.0,1301.0,10761,7127,7.22,9.21,9739.81,19884.2,1547,14.5,0.91,65.93,2.04,104.15,35-44,M,Traffic,6.3
CMP-0143,IG-0143,Instagram,Image,2024-06-16,2024-06-30,Active,378023,226103,4018,5255,1124.0,356.0,54349,3324,1.06,1.78,24980.38,24321.56,352,8.76,6.22,66.08,0.97,-2.64,18-24,M,Awareness,70.97
CMP-0144,FB-0144,Facebook,Video,2024-07-24,2024-08-21,Completed,681001,301015,49306,116343,7561.0,23215.0,162367,35647,7.24,21.6,4593.05,21754.42,6079,12.33,0.09,6.74,4.74,373.64,35-44,M,Awareness,0.76
CMP-0145,FB-0145,Facebook,Story,2024-07-21,2024-08-26,Completed,452389,220043,13432,15019,1591.0,2723.0,56211,9531,2.97,4.27,13632.18,34897.85,596,4.44,1.01,30.13,2.56,156.0,45+,M,Conversions,22.87
CMP-0146,IG-0146,Instagram,Video,2024-09-26,2024-10-16,Completed,575065,458570,68307,145443,17718.0,18489.0,252612,58493,11.88,31.59,17782.97,24879.79,5487,8.03,0.26,30.92,1.4,39.91,35-44,All,Engagement,3.24
CMP-0147,IG-0147,Instagram,Image,2024-08-29,2024-10-06,Completed,617356,555498,72235,70084,12711.0,5792.0,77859,62023,11.7,14.35,44839.45,71611.2,1287,1.78,0.62,72.63,1.6,59.71,45+,F,Conversions,34.84
CMP-0148,FB-0148,Facebook,Video,2024-06-11,2024-07-08,Completed,34576,25991,1571,2772,217.0,531.0,23708,1264,4.54,10.18,24624.54,33927.29,229,14.58,15.67,712.19,1.38,37.78,18-24,M,Traffic,107.53
CMP-0149,FB-0149,Facebook,Story,2024-11-10,2024-11-27,Completed,362311,274801,40093,89619,10280.0,3898.0,185005,34424,11.07,28.65,38168.4,183336.08,4747,11.84,0.95,105.35,4.8,380.33,18-24,F,Awareness,8.04
CMP-0150,TW-0150,Twitter,Image,2024-06-14,2024-06-27,Completed,463089,368582,53475,101795,8636.0,19849.0,51015,46224,11.55,28.13,10434.06,35942.74,6426,12.02,0.2,22.53,3.44,244.48,25-34,F,Traffic,1.62
CMP-0151,FB-0151,Facebook,Video,2024-12-25,2025-01-24,Active,600048,249734,44568,105437,25674.0,7943.0,297554,38700,7.43,23.17,33667.78,56897.86,1323,2.97,0.76,56.11,1.69,69.0,35-44,M,Conversions,25.45
CMP-0152,TW-0152,Twitter,Carousel,2024-05-15,2024-06-02,Completed,76087,43768,7266,14711,877.0,1619.0,5672,3510,9.55,22.61,39738.79,89656.9,493,6.79,5.47,522.28,2.26,125.62,45+,M,Traffic,80.61
CMP-0153,TW-0153,Twitter,Video,2024-02-07,2024-02-14,Completed,339198,179966,5781,7983,1816.0,524.0,51728,5034,1.7,3.04,15538.8,84319.44,849,14.69,2.69,45.81,5.43,442.64,45+,All,Awareness,18.3
CMP-0154,FB-0154,Facebook,Story,2024-02-21,2024-03-18,Completed,204212,123474,14034,33309,5263.0,2969.0,62934,6286,6.87,20.34,24959.99,73750.32,912,6.5,1.78,122.23,2.95,195.47,18-24,F,Awareness,27.37
CMP-0155,TW-0155,Twitter,Story,2024-01-14,2024-02-01,Paused,90916,57893,1662,3547,511.0,649.0,25956,1198,1.83,5.18,17010.41,40947.9,106,6.38,10.23,187.1,2.41,140.72,25-34,F,Awareness,160.48
CMP-0156,IG-0156,Instagram,Video,2024-10-15,2024-10-23,Completed,704891,316038,57685,125401,16652.0,20193.0,182749,24832,8.18,23.02,23754.91,126569.45,3703,6.42,0.41,33.7,5.33,432.81,45+,All,Conversions,6.42
CMP-0157,FB-0157,Facebook,Story,2024-12-31,2025-01-07,Paused,546922,437660,45348,84096,6227.0,13552.0,120878,40458,8.29,18.99,36476.5,41252.37,6625,14.61,0.8,66.69,1.13,13.09,45+,M,Sales,5.51
CMP-0158,TW-0158,Twitter,Video,2024-05-12,2024-06-06,Completed,75267,33381,5192,9026,1997.0,1111.0,55849,2108,6.9,16.12,26647.14,117472.01,561,10.81,5.13,354.03,4.41,340.84,18-24,F,Conversions,47.5
CMP-0159,TW-0159,Twitter,Image,2024-10-15,2024-10-26,Completed,566652,476026,60041,74993,13570.0,9863.0,46179,29185,10.6,17.37,28011.88,109360.18,3987,6.64,0.47,49.43,3.9,290.41,45+,M,Sales,7.03
CMP-0160,TW-0160,Twitter,Video,2024-08-31,2024-09-22,Completed,26215,14914,2523,3352,732.0,594.0,15188,2236,9.62,17.84,13871.38,58518.06,105,4.16,5.5,529.14,4.22,321.86,35-44,F,Awareness,132.11
CMP-0161,FB-0161,Facebook,Video,2024-07-27,2024-09-01,Completed,397073,321831,25514,27306,3064.0,3306.0,77411,21065,6.43,8.48,1788.19,2617.58,3396,13.31,0.07,4.5,1.46,46.38,25-34,M,Traffic,0.53
CMP-0162,IG-0162,Instagram,Video,2024-08-25,2024-10-01,Completed,134890,99897,4427,7220,1005.0,1398.0,58300,2991,3.28,7.13,37775.59,67742.95,257,5.81,8.53,280.05,1.79,79.33,18-24,F,Traffic,146.99
CMP-0163,TW-0163,Twitter,Video,2024-11-27,2024-12-16,Completed,287154,208414,18385,41731,10158.0,6224.0,124012,8570,6.4,20.24,36138.48,58502.78,629,3.42,1.97,125.85,1.62,61.89,35-44,All,Conversions,57.45
CMP-0164,IG-0164,Instagram,Story,2024-08-23,2024-09-13,Completed,321822,237697,32116,47376,3338.0,5772.0,181394,26387,9.98,17.55,29306.72,103899.66,2003,6.24,0.91,91.06,3.55,254.53,35-44,All,Conversions,14.63
CMP-0165,IG-0165,Instagram,Carousel,2024-05-13,2024-06-06,Completed,256974,218387,25086,54286,9228.0,7908.0,27881,19081,9.76,27.79,44887.37,80668.5,2552,10.17,1.79,174.68,1.8,79.71,45+,F,Conversions,17.59
CMP-0166,TW-0166,Twitter,Video,2024-12-31,2025-01-19,Active,674320,534363,73669,143078,21671.0,25076.0,464233,61752,10.92,28.15,4843.34,5520.05,2604,3.53,0.07,7.18,1.14,13.97,35-44,All,Traffic,1.86
CMP-0167,FB-0167,Facebook,Carousel,2024-04-23,2024-05-20,Completed,327002,199548,34984,50092,8371.0,5720.0,11546,14932,10.7,19.63,26323.93,94852.32,3456,9.88,0.75,80.5,3.6,260.33,45+,M,Conversions,7.62
CMP-0168,IG-0168,Instagram,Carousel,2024-03-18,2024-03-31,Completed,364315,220263,25677,60116,8507.0,5447.0,41181,20271,7.05,20.33,28580.96,39559.52,2009,7.82,1.11,78.45,1.38,38.41,18-24,M,Traffic,14.23
CMP-0169,FB-0169,Facebook,Video,2024-02-15,2024-02-28,Completed,669259,411396,36366,58606,2985.0,2969.0,409226,31821,5.43,9.65,34179.72,107842.79,4905,13.49,0.94,51.07,3.16,215.52,18-24,All,Engagement,6.97
CMP-0170,FB-0170,Facebook,Carousel,2024-02-22,2024-03-22,Completed,325984,157616,32514,42493,4596.0,6648.0,31792,18497,9.97,16.48,44798.52,99168.88,4367,13.43,1.38,137.43,2.21,121.37,45+,F,Traffic,10.26
CMP-0171,IG-0171,Instagram,Image,2024-03-08,2024-03-26,Completed,623337,406613,11945,23996,5001.0,2400.0,64354,9384,1.92,5.04,26929.62,19922.58,1161,9.72,2.25,43.2,0.74,-26.02,18-24,All,Awareness,23.2
CMP-0172,FB-0172,Facebook,Story,2024-03-04,2024-04-13,Completed,740962,353115,62942,117797,12983.0,17182.0,417708,33673,8.49,19.97,6603.78,30729.13,5966,9.48,0.1,8.91,4.65,365.33,18-24,All,Traffic,1.11
CMP-0173,FB-0173,Facebook,Image,2024-11-07,2024-11-24,Completed,553558,490762,25552,38240,3138.0,4883.0,76582,19013,4.62,8.36,10935.48,6164.84,1974,7.73,0.43,19.75,0.56,-43.63,18-24,M,Engagement,5.54
CMP-0174,FB-0174,Facebook,Image,2024-02-08,2024-02-19,Completed,680636,350922,80789,105287,15040.0,5892.0,29070,33908,11.87,18.54,36171.03,74640.21,4094,5.07,0.45,53.14,2.06,106.35,18-24,M,Conversions,8.84
CMP-0175,FB-0175,Facebook,Video,2024-03-28,2024-04-23,Completed,463976,407159,16636,34040,4238.0,3228.0,83368,9983,3.59,8.95,37689.02,148853.24,1229,7.39,2.27,81.23,3.95,294.95,45+,F,Conversions,30.67
CMP-0176,FB-0176,Facebook,Video,2024-01-31,2024-02-15,Completed,511121,409475,42430,47018,5921.0,4578.0,61422,31492,8.3,11.25,43818.28,50534.6,5405,12.74,1.03,85.73,1.15,15.33,45+,M,Conversions,8.11
CMP-0177,FB-0177,Facebook,Carousel,2024-01-07,2024-02-14,Completed,609660,464491,18752,45469,10213.0,5595.0,66740,13297,3.08,10.05,32836.01,95541.24,1323,7.06,1.75,53.86,2.91,190.96,45+,M,Conversions,24.82
CMP-0178,TW-0178,Twitter,Image,2024-03-21,2024-04-27,Completed,524920,438154,7143,11684,1147.0,2280.0,13934,3652,1.36,2.88,18445.83,30896.77,714,10.0,2.58,35.14,1.68,67.5,45+,F,Awareness,25.83
CMP-0179,IG-0179,Instagram,Story,2024-09-11,2024-09-17,Paused,42572,28887,213,203,34.0,28.0,13334,139,0.5,0.62,30380.61,159552.15,8,3.76,142.63,713.63,5.25,425.18,35-44,M,Traffic,3797.58
CMP-0180,IG-0180,Instagram,Story,2024-07-05,2024-08-07,Completed,237518,95268,10888,20439,4291.0,2608.0,85915,4934,4.58,11.51,22412.79,103304.88,1476,13.56,2.06,94.36,4.61,360.92,45+,M,Engagement,15.18
CMP-0181,FB-0181,Facebook,Story,2024-04-07,2024-05-03,Paused,53759,46410,5446,9808,2005.0,1099.0,30154,4782,10.13,24.02,22697.87,71539.64,157,2.88,4.17,422.22,3.15,215.18,18-24,All,Traffic,144.57
CMP-0182,IG-0182,Instagram,Video,2024-03-29,2024-04-11,Completed,634718,446257,26665,61285,8195.0,8422.0,371158,13975,4.2,12.27,15757.22,31055.4,1751,6.57,0.59,24.83,1.97,97.09,25-34,M,Engagement,9.0
CMP-0183,TW-0183,Twitter,Carousel,2024-10-07,2024-11-01,Completed,585472,419368,16453,30620,3310.0,2916.0,62884,14654,2.81,6.29,43145.53,130276.51,1661,10.1,2.62,73.69,3.02,201.95,35-44,All,Conversions,25.98
CMP-0184,IG-0184,Instagram,Story,2024-09-30,2024-10-23,Completed,447904,360183,29164,24584,1943.0,3619.0,107466,22604,6.51,6.73,13254.39,23232.36,948,3.25,0.45,29.59,1.75,75.28,18-24,All,Engagement,13.98
CMP-0185,TW-0185,Twitter,Image,2024-08-19,2024-08-30,Completed,713340,549090,74513,153653,24930.0,11987.0,86998,59566,10.45,26.72,30069.96,154331.79,3745,5.03,0.4,42.15,5.13,413.24,45+,F,Traffic,8.03
CMP-0186,IG-0186,Instagram,Image,2024-05-08,2024-05-25,Completed,469586,382708,51570,103030,18496.0,16568.0,42760,36186,10.98,29.41,43410.9,85558.05,6119,11.87,0.84,92.45,1.97,97.09,25-34,All,Awareness,7.09
CMP-0187,TW-0187,Twitter,Image,2024-08-07,2024-08-29,Completed,141384,67929,14462,11708,1677.0,2224.0,3561,12499,10.23,11.04,34927.91,126677.71,1353,9.36,2.42,247.04,3.63,262.68,35-44,F,Traffic,25.82
CMP-0188,FB-0188,Facebook,Carousel,2024-04-04,2024-05-12,Completed,172112,104638,11490,10987,1035.0,814.0,10867,6668,6.68,7.46,33993.18,107163.31,466,4.06,2.96,197.51,3.15,215.25,18-24,M,Engagement,72.95
CMP-0189,TW-0189,Twitter,Video,2024-12-15,2025-01-09,Paused,123881,73453,8315,10649,2473.0,1826.0,44903,6663,6.71,12.07,2451.4,12235.94,601,7.23,0.29,19.79,4.99,399.14,25-34,F,Sales,4.08
CMP-0190,FB-0190,Facebook,Image,2024-04-17,2024-05-05,Completed,449815,367873,12883,28456,6423.0,4513.0,34447,10414,2.86,8.76,31028.94,19199.61,258,2.0,2.41,68.98,0.62,-38.12,35-44,M,Engagement,120.27
CMP-0191,IG-0191,Instagram,Image,2024-04-26,2024-05-17,Completed,478039,341849,26195,21708,4008.0,2725.0,49422,18576,5.48,5.95,26559.56,106355.37,3034,11.58,1.01,55.56,4.0,300.44,18-24,F,Engagement,8.75
CMP-0192,TW-0192,Twitter,Carousel,2024-05-24,2024-06-26,Completed,697818,289880,16033,18819,3751.0,3151.0,91016,8777,2.3,3.69,13763.51,67921.42,1583,9.87,0.86,19.72,4.93,393.49,35-44,M,Engagement,8.69
CMP-0193,FB-0193,Facebook,Image,2024-11-01,2024-12-01,Completed,94261,52064,8582,20047,2380.0,2125.0,9800,5632,9.1,26.05,10325.06,48256.66,279,3.25,1.2,109.54,4.67,367.37,25-34,M,Awareness,37.01
CMP-0194,FB-0194,Facebook,Story,2024-02-07,2024-03-01,Completed,267865,120298,23690,38572,4480.0,2334.0,149691,10661,8.84,16.94,40555.28,84717.13,2291,9.67,1.71,151.4,2.09,108.89,45+,F,Engagement,17.7
CMP-0195,TW-0195,Twitter,Video,2024-07-05,2024-07-30,Completed,181831,73171,6056,7125,1410.0,782.0,125113,2829,3.33,5.12,39565.92,111348.07,682,11.26,6.53,217.6,2.81,181.42,35-44,F,Traffic,58.01
CMP-0196,TW-0196,Twitter,Image,2024-03-12,2024-04-20,Completed,662057,290134,9050,7526,1139.0,338.0,63322,5453,1.37,1.36,40830.51,133024.58,838,9.26,4.51,61.67,3.26,225.8,45+,All,Conversions,48.72
CMP-0197,FB-0197,Facebook,Carousel,2024-09-13,2024-10-20,Paused,531560,215439,17260,42093,10370.0,6291.0,62956,8115,3.25,11.05,25702.9,85566.56,557,3.23,1.49,48.35,3.33,232.91,25-34,All,Awareness,46.15
CMP-0198,FB-0198,Facebook,Video,2024-04-28,2024-05-07,Completed,250386,105513,7205,16882,2063.0,1943.0,104724,3049,2.88,8.34,14921.16,59963.39,1061,14.73,2.07,59.59,4.02,301.87,35-44,All,Conversions,14.06
CMP-0199,FB-0199,Facebook,Story,2024-07-06,2024-07-15,Completed,399609,354188,12241,18238,3892.0,1736.0,261688,10326,3.06,5.97,39750.52,107306.27,133,1.09,3.25,99.47,2.7,169.95,25-34,M,Conversions,298.88
CMP-0200,FB-0200,Facebook,Video,2024-11-04,2024-11-16,Completed,439753,354258,38623,62514,9112.0,4608.0,93611,31542,8.78,17.34,2419.92,8148.92,507,1.31,0.06,5.5,3.37,236.74,25-34,M,Awareness,4.77
CMP-0201,TW-0201,Twitter,Video,2024-05-12,2024-05-28,Completed,430151,300967,30030,24974,4842.0,3643.0,128364,13299,6.98,7.78,44678.52,216088.2,2188,7.29,1.49,103.87,4.84,383.65,25-34,M,Awareness,20.42
CMP-0202,TW-0202,Twitter,Video,2024-09-18,2024-10-09,Completed,364316,313740,26814,24589,3089.0,1503.0,40655,17733,7.36,8.01,30954.37,143398.31,3681,13.73,1.15,84.97,4.63,363.26,18-24,M,Engagement,8.41
CMP-0203,FB-0203,Facebook,Image,2024-12-03,2024-12-16,Completed,570482,464235,61698,130631,23493.0,16136.0,38877,26019,10.82,29.84,10712.14,48327.83,5193,8.42,0.17,18.78,4.51,351.15,45+,F,Awareness,2.06
CMP-0204,TW-0204,Twitter,Image,2024-05-10,2024-06-14,Completed,92889,50311,9830,14692,1290.0,2254.0,11390,6772,10.58,19.63,820.14,3094.17,260,2.64,0.08,8.83,3.77,277.27,35-44,F,Traffic,3.15
CMP-0205,TW-0205,Twitter,Carousel,2024-10-01,2024-11-02,Completed,646603,347730,53842,112177,14879.0,18554.0,53487,31503,8.33,22.52,11793.11,23978.52,4721,8.77,0.22,18.24,2.03,103.33,35-44,All,Awareness,2.5
CMP-0206,TW-0206,Twitter,Image,2024-08-16,2024-08-31,Completed,425018,337056,41268,76091,14222.0,3677.0,29999,29627,9.71,22.11,37134.87,106144.21,5059,12.26,0.9,87.37,2.86,185.83,45+,M,Engagement,7.34
CMP-0207,FB-0207,Facebook,Image,2024-07-24,2024-08-31,Completed,631495,270741,59338,65150,9699.0,2717.0,82456,51349,9.4,12.28,9166.22,40512.83,4897,8.25,0.15,14.52,4.42,341.98,25-34,All,Conversions,1.87
CMP-0208,FB-0208,Facebook,Image,2024-02-14,2024-03-07,Completed,375281,275768,19374,22096,1172.0,3371.0,52349,13073,5.16,7.1,25380.57,86666.07,2163,11.16,1.31,67.63,3.41,241.47,35-44,F,Sales,11.73
CMP-0209,IG-0209,Instagram,Story,2024-05-13,2024-05-29,Completed,116636,79232,7332,10103,741.0,1233.0,32703,4904,6.29,10.35,11631.3,31565.52,887,12.1,1.59,99.72,2.71,171.38,45+,All,Engagement,13.11
CMP-0210,IG-0210,Instagram,Story,2024-10-27,2024-11-02,Completed,275343,119437,21441,53391,9897.0,4099.0,88388,18819,7.79,24.47,932.68,4347.11,1764,8.23,0.04,3.39,4.66,366.09,25-34,F,Engagement,0.53
CMP-0211,IG-0211,Instagram,Image,2024-04-01,2024-05-06,Completed,234183,198390,8417,20285,3785.0,3764.0,19875,4207,3.59,11.89,39337.04,60338.82,950,11.29,4.67,167.98,1.53,53.39,25-34,M,Engagement,41.41
CMP-0212,FB-0212,Facebook,Image,2024-12-12,2025-01-17,Active,572776,503468,58721,84031,9502.0,15436.0,77054,40356,10.25,19.02,8637.8,37326.63,2845,4.84,0.15,15.08,4.32,332.13,35-44,F,Sales,3.04
CMP-0213,FB-0213,Facebook,Story,2024-10-03,2024-10-10,Completed,417842,346892,39372,62098,4599.0,7632.0,134108,15914,9.42,17.79,17384.55,17449.55,4109,10.44,0.44,41.61,1.0,0.37,35-44,All,Engagement,4.23
CMP-0214,IG-0214,Instagram,Video,2024-11-09,2024-12-05,Completed,527998,323119,28087,58385,7182.0,6077.0,219388,19259,5.32,13.57,31027.53,141825.39,4131,14.71,1.1,58.76,4.57,357.1,35-44,M,Traffic,7.51
CMP-0215,FB-0215,Facebook,Video,2024-03-17,2024-04-21,Completed,190186,116158,3892,9023,1589.0,1131.0,61051,2503,2.05,6.17,38703.34,28584.22,175,4.5,9.94,203.5,0.74,-26.15,18-24,All,Conversions,221.16
CMP-0216,IG-0216,Instagram,Story,2024-02-19,2024-03-23,Completed,277387,161017,19261,45920,4662.0,1982.0,51279,16057,6.94,18.95,9353.64,31610.37,2789,14.48,0.49,33.72,3.38,237.95,25-34,F,Conversions,3.35
CMP-0217,IG-0217,Instagram,Story,2024-07-14,2024-08-06,Completed,156884,130861,12341,29353,3943.0,4049.0,60140,10533,7.87,23.8,15791.33,32647.16,260,2.11,1.28,100.66,2.07,106.74,35-44,All,Conversions,60.74
CMP-0218,IG-0218,Instagram,Story,2024-07-04,2024-08-11,Completed,439098,212373,45330,45899,4448.0,3684.0,272553,35124,10.32,12.3,18168.53,17764.62,1789,3.95,0.4,41.38,0.98,-2.22,45+,All,Conversions,10.16
CMP-0219,TW-0219,Twitter,Image,2024-11-12,2024-11-26,Paused,329398,169533,29587,45959,3459.0,5711.0,13893,12354,8.98,16.74,41229.62,198776.48,1773,5.99,1.39,125.17,4.82,382.12,45+,All,Awareness,23.25
CMP-0220,FB-0220,Facebook,Video,2024-08-21,2024-09-22,Completed,675593,450547,73995,119783,11430.0,6507.0,213154,44848,10.95,20.39,969.73,3022.24,2353,3.18,0.01,1.44,3.12,211.66,25-34,F,Engagement,0.41
CMP-0221,TW-0221,Twitter,Story,2024-09-01,2024-09-25,Paused,312151,218038,30162,52239,4582.0,9462.0,126725,15833,9.66,21.23,29246.59,135766.6,3320,11.01,0.97,93.69,4.64,364.21,25-34,F,Sales,8.81
CMP-0222,TW-0222,Twitter,Carousel,2024-09-29,2024-10-21,Completed,76789,37719,2941,5537,960.0,462.0,7752,1452,3.83,9.06,2708.63,8599.5,37,1.26,0.92,35.27,3.17,217.49,25-34,M,Awareness,73.21
CMP-0223,IG-0223,Instagram,Image,2024-03-18,2024-03-23,Completed,363521,221791,34664,57101,7096.0,8651.0,8770,15256,9.54,20.04,7000.91,12829.29,3989,11.51,0.2,19.26,1.83,83.25,45+,M,Awareness,1.76
CMP-0224,IG-0224,Instagram,Story,2024-03-03,2024-03-23,Completed,469478,245809,56042,63809,12574.0,3511.0,265821,28257,11.94,17.02,43274.02,224206.0,3613,6.45,0.77,92.17,5.18,418.11,25-34,All,Conversions,11.98
